Transaction ID,Transaction Amount,Transaction Type,Timestamp,Minute,Transaction Status,Fail Flag,Fraud ,Fraud Flag,Geolocation (Latitude),Geolocation (Longitude),Device Used,Network Slice ID,Latency (ms),Slice Bandwidth (Mbps)
TXN9520068950,495.9,Deposit,10:14:00 AM,14,Failed,1,TRUE,1,34.0522 N, -74.006 W,Desktop,Slice3,10,179
TXN9412011085,529.62,Withdrawal,10:51:00 AM,51,Success,0,FALSE,0,35.6895 N, -118.2437 W,Mobile,Slice2,11,89
TXN4407425052,862.47,Withdrawal,10:50:00 AM,50,Failed,1,FALSE,0,48.8566 N, 2.3522 W,Mobile,Slice1,4,53
TXN2214150284,1129.88,Transfer,10:56:00 AM,56,Success,0,TRUE,1,34.0522 N, -74.006 W,Mobile,Slice3,10,127
TXN4247571145,933.24,Deposit,10:25:00 AM,25,Success,0,TRUE,1,55.7558 N, 37.6173 W,Mobile,Slice3,20,191
TXN2515439857,449.56,Withdrawal,10:01:00 AM,1,Failed,1,FALSE,0,35.6895 N, 139.6917 W,Desktop,Slice1,14,191
TXN2169752734,72.97,Withdrawal,10:25:00 AM,25,Success,0,TRUE,1,55.7558 N, 2.3522 W,Mobile,Slice2,5,216
TXN3109277527,1135.8,Deposit,10:56:00 AM,56,Failed,1,TRUE,1,48.8566 N, -118.2437 W,Mobile,Slice2,11,69
TXN4541918858,1154.59,Withdrawal,10:38:00 AM,38,Success,0,FALSE,0,40.7128 N, -118.2437 W,Mobile,Slice2,6,151
TXN4229370499,683.48,Transfer,10:55:00 AM,55,Success,0,TRUE,1,34.0522 N, 2.3522 W,Mobile,Slice1,19,213
TXN6355066290,485.37,Transfer,10:50:00 AM,50,Failed,1,TRUE,1,34.0522 N, 37.6173 W,Mobile,Slice3,20,173
TXN2166128709,1356.77,Deposit,10:06:00 AM,6,Failed,1,FALSE,0,40.7128 N, 2.3522 W,Desktop,Slice1,18,179
TXN8655304785,385.43,Deposit,10:58:00 AM,58,Success,0,FALSE,0,55.7558 N, -74.006 W,Desktop,Slice3,17,181
TXN5194651812,394.76,Deposit,10:13:00 AM,13,Failed,1,FALSE,0,34.0522 N, -118.2437 W,Desktop,Slice2,16,146
TXN9153984217,620.34,Deposit,10:37:00 AM,37,Failed,1,FALSE,0,55.7558 N, 2.3522 W,Desktop,Slice2,7,215
TXN9743166792,579.65,Transfer,10:17:00 AM,17,Failed,1,FALSE,0,51.5074 N, 0.1278 W,Mobile,Slice2,14,246
TXN6682052855,1171.23,Transfer,10:29:00 AM,29,Success,0,FALSE,0,34.0522 N, -74.006 W,Mobile,Slice2,13,88
TXN4351744832,817.55,Deposit,10:13:00 AM,13,Failed,1,FALSE,0,40.7128 N, 2.3522 W,Mobile,Slice2,8,82
TXN5897093700,113.95,Deposit,10:25:00 AM,25,Success,0,FALSE,0,48.8566 N, -74.006 W,Mobile,Slice3,18,141
TXN5863399870,906.82,Transfer,10:57:00 AM,57,Failed,1,FALSE,0,34.0522 N, 2.3522 W,Mobile,Slice2,3,205
TXN3008400720,402.18,Withdrawal,10:07:00 AM,7,Failed,1,FALSE,0,35.6895 N, 0.1278 W,Mobile,Slice2,18,169
TXN8954205071,154.78,Transfer,10:41:00 AM,41,Success,0,TRUE,1,48.8566 N, 37.6173 W,Mobile,Slice3,7,68
TXN8076969401,762.55,Deposit,10:34:00 AM,34,Success,0,FALSE,0,48.8566 N, 2.3522 W,Desktop,Slice3,15,207
TXN5541586171,1196.23,Withdrawal,10:48:00 AM,48,Failed,1,FALSE,0,48.8566 N, -74.006 W,Mobile,Slice2,4,72
TXN2415439100,1414.14,Transfer,10:30:00 AM,30,Failed,1,FALSE,0,55.7558 N, 37.6173 W,Mobile,Slice2,4,52
